dor_code,municipality,fiscal_year,general_government,public_safety,education,public_works,human_services,culture_recreation,fixed_costs,intergov_assessments,other,debt_service,total_expenditures
010,Arlington,2025,"8,698,445","18,692,283","105,101,294","11,813,138","1,605,229","2,868,456","41,475,674","4,077,654",0,"19,929,471","214,261,644"
046,Brookline,2025,"14,591,582","43,497,816","146,446,110","15,080,716","2,793,578","8,665,288","89,415,746","7,959,725",0,"36,286,410","364,736,971"
065,Cohasset,2025,"3,828,490","7,169,908","25,719,459","4,229,505","677,947","971,818","11,187,454","422,232",0,"1,239,777","55,446,590"
082,Duxbury,2025,"4,809,321","11,108,792","44,220,697","4,423,143","910,795","3,729,969","18,952,889","667,206",0,"6,954,800","95,777,612"
100,Framingham,2025,"12,817,460","38,200,935","182,378,916","14,944,674","2,224,037","7,309,000","70,460,835","7,888,965","27,155","15,305,347","351,557,324"
131,Hingham,2025,"6,586,866","17,112,742","71,942,495","8,347,538","1,048,813","2,939,514","18,430,516","1,072,771","1,155,400","10,933,506","139,570,161"
155,Lexington,2025,"22,872,035","20,242,918","146,245,592","10,908,690","1,901,500","5,329,042","48,442,145","1,254,659","69,593","22,099,556","279,365,730"
168,Marblehead,2025,0,0,0,0,0,0,0,0,0,0,0
178,Melrose,2025,"5,181,550","13,424,916","44,643,358","9,377,581","1,953,877","2,104,720","24,048,460","5,203,717","779,681","8,952,102","115,669,962"
198,Natick,2025,"14,677,706","19,930,753","88,975,578","10,306,777","1,997,286","3,451,530","36,335,317","1,401,601","21,967","14,663,623","191,762,138"
199,Needham,2025,"13,121,220","23,609,570","107,941,852","10,749,630","2,987,409","3,560,672","44,211,650","1,605,706","949,042","24,514,652","233,251,403"
284,Stoneham,2025,"3,020,667","11,733,698","38,213,957","2,922,160","715,832","1,881,501","19,848,341","4,530,606","388,841","8,473,793","91,729,396"
291,Swampscott,2025,"3,344,562","8,902,231","32,761,014","1,428,059","566,557","885,984","14,710,661","1,702,289","563,409","7,503,311","72,368,077"
317,Wellesley,2025,"18,672,228","16,340,552","89,711,236","12,140,619","2,049,487","3,714,447","32,675,163","1,432,482","190,778","20,505,115","197,432,107"
344,Winchester,2025,"9,103,683","13,716,637","66,394,217","11,451,832","1,087,965","3,584,262","23,340,118","662,126","63,365","14,315,185","143,719,390"
010,Arlington,2024,"8,384,769","18,936,570","98,738,122","11,605,875","1,547,757","2,692,273","39,315,601","3,958,930",0,"23,737,977","208,917,874"
046,Brookline,2024,"13,587,487","41,470,109","140,247,931","13,663,245","2,627,566","8,273,220","80,309,607","7,529,086",0,"35,718,059","343,426,310"
065,Cohasset,2024,"3,588,415","6,902,988","23,611,602","4,099,206","685,151","983,265","10,954,641","479,640",0,"1,672,052","52,976,960"
082,Duxbury,2024,"5,505,164","11,321,280","43,008,465","4,556,682","895,400","3,919,676","16,633,508","558,001",0,"6,831,188","93,229,364"
100,Framingham,2024,"12,030,847","36,724,064","175,324,565","14,538,629","2,088,258","7,057,073","64,937,095","8,128,538","43,763","16,155,889","337,028,721"
131,Hingham,2024,"6,057,595","17,518,263","64,873,416","6,986,408","985,195","2,740,666","16,913,886","987,694","1,108,641","8,599,792","126,771,556"
155,Lexington,2024,"22,001,442","19,170,666","138,583,334","9,678,640","2,026,449","4,874,521","43,951,486","981,462","185,539","23,374,202","264,827,741"
168,Marblehead,2024,"3,311,081","10,913,557","45,816,392","6,040,577","847,938","2,212,627","18,519,860","1,832,947",0,"11,006,139","100,501,118"
178,Melrose,2024,"5,245,120","11,324,302","43,856,748","12,270,004","1,881,924","1,986,935","22,954,422","4,523,929","2,099,890","5,213,126","111,356,400"
198,Natick,2024,"14,239,615","19,178,790","84,694,338","10,214,181","1,921,254","3,990,402","34,021,157","1,376,799","18,819","15,724,178","185,379,533"
199,Needham,2024,"11,240,547","22,154,845","100,522,575","9,491,211","2,661,354","3,296,182","42,491,844","1,642,017","870,055","20,485,124","214,855,754"
284,Stoneham,2024,"3,549,443","10,719,291","36,050,187","2,808,428","742,063","1,702,405","18,378,820","4,004,841","271,208","8,620,334","86,847,020"
291,Swampscott,2024,"4,273,205","8,869,226","31,517,835","1,383,275","517,866","888,376","13,088,183","1,657,186","564,933","7,069,094","69,829,179"
317,Wellesley,2024,"16,440,924","15,738,836","89,921,786","11,526,289","1,917,677","3,496,001","30,407,126","1,407,314","133,339","19,140,672","190,129,964"
344,Winchester,2024,"9,138,598","14,032,280","64,744,510","11,438,902","923,718","2,402,443","21,661,909","675,242","29,485","13,504,423","138,551,510"
010,Arlington,2023,"7,349,152","17,522,620","91,353,298","9,719,068","1,671,007","4,419,762","36,675,742","3,823,337",0,"19,051,221","191,585,207"
046,Brookline,2023,"13,924,496","36,382,869","130,884,869","13,588,421","2,425,972","7,958,580","77,360,296","7,295,058",0,"35,445,846","325,266,407"
065,Cohasset,2023,"5,247,861","6,611,498","22,499,714","2,333,904","614,453","932,662","12,462,536","341,557",0,"2,726,904","53,771,089"
082,Duxbury,2023,"4,547,581","10,815,085","40,528,150","4,355,573","766,111","3,238,605","15,964,674","596,789",0,"7,124,179","87,936,747"
100,Framingham,2023,"11,486,736","33,887,620","163,529,809","13,358,450","1,849,526","6,671,298","63,743,946","8,578,452","54,724","14,145,001","317,305,562"
131,Hingham,2023,"6,077,534","17,271,981","63,015,255","5,822,600","887,753","2,627,064","16,967,575","1,062,691","19,214","5,372,579","119,124,246"
155,Lexington,2023,"20,077,834","18,311,899","127,066,811","9,136,390","1,882,267","4,804,983","41,645,233","1,003,631","259,837","23,363,388","247,552,273"
168,Marblehead,2023,"2,815,519","10,581,498","44,336,803","5,677,701","759,309","2,181,334","17,604,579","2,516,077",0,"10,106,619","96,579,439"
178,Melrose,2023,"4,908,876","11,782,589","39,494,198","10,919,984","1,866,274","1,863,247","22,813,568","4,425,901","1,369,859","5,069,313","104,513,809"
198,Natick,2023,"14,496,421","18,892,229","80,887,468","8,902,529","1,782,912","3,132,018","31,401,683","1,396,463","11,800","13,806,065","174,709,588"
199,Needham,2023,"10,179,315","21,069,993","95,549,915","8,555,318","2,422,085","3,227,900","40,382,532","1,555,971","802,155","23,692,944","207,438,128"
284,Stoneham,2023,"3,199,887","10,379,569","33,705,651","2,850,812","652,878","1,406,623","18,037,565","3,563,586","141,104","9,131,016","83,068,691"
291,Swampscott,2023,"4,661,325","8,305,046","30,812,071","1,307,883","639,831","836,128","12,515,658","1,762,062",499,"6,847,287","67,687,790"
317,Wellesley,2023,"15,633,350","14,901,529","82,260,312","10,778,758","1,650,367","3,395,363","28,534,864","1,330,131","162,354","22,508,372","181,155,400"
344,Winchester,2023,"9,062,140","14,123,299","60,339,391","9,383,380","894,821","2,291,116","20,619,559","720,639","36,500","11,589,102","129,059,947"
010,Arlington,2022,"6,882,379","17,611,043","87,033,450","9,388,963","1,660,785","4,355,679","35,863,807","3,618,539",0,"15,752,874","182,167,519"
046,Brookline,2022,"12,441,283","36,633,271","128,842,776","13,875,924","2,503,622","7,802,448","72,160,184","6,844,019",0,"34,262,603","315,366,130"
065,Cohasset,2022,"3,821,082","6,249,166","22,120,639","3,668,580","613,214","886,991","9,177,759","570,773",0,"1,864,257","48,972,461"
082,Duxbury,2022,"3,800,251","10,191,755","38,351,187","4,344,506","733,425","2,906,920","14,498,673","585,540","216,000","7,250,199","82,878,456"
100,Framingham,2022,"10,560,261","33,537,996","156,923,968","13,754,677","1,949,586","6,241,758","59,560,314","8,942,227","63,107","13,726,985","305,260,879"
131,Hingham,2022,"5,131,975","15,019,175","60,301,393","6,697,536","899,282","2,649,927","16,200,321","1,078,185",0,"5,557,840","113,535,634"
155,Lexington,2022,"19,986,676","17,095,650","123,766,584","8,356,000","1,536,011","4,518,893","15,528,257","1,048,843","551,748","27,240,811","219,629,473"
168,Marblehead,2022,"2,752,211","9,788,938","43,062,644","5,715,633","829,069","1,985,171","16,898,811","2,774,145",0,"12,681,651","96,488,273"
178,Melrose,2022,"4,249,170","10,873,575","37,410,838","10,697,187","1,721,590","1,653,689","21,272,173","4,174,541","1,592,467","5,149,219","98,794,449"
198,Natick,2022,"12,581,312","17,733,096","77,376,420","8,701,526","1,770,861","3,076,067","28,919,791","1,360,306","10,341","14,442,607","165,972,327"
199,Needham,2022,"9,638,958","19,492,750","91,247,476","8,114,665","2,263,580","2,959,474","38,342,644","1,572,207",0,"18,152,496","191,784,250"
284,Stoneham,2022,"3,184,949","9,767,567","32,657,020","2,745,514","601,547","1,449,090","17,125,482","3,241,456","50,169","2,881,813","73,704,607"
291,Swampscott,2022,"3,582,757","8,453,450","30,311,491","1,542,313","1,829,339","798,229","12,680,355","1,672,962","93,833","3,299,096","64,263,825"
317,Wellesley,2022,"14,084,343","13,609,803","80,679,989","9,373,266","1,695,146","3,219,097","27,236,568","1,286,137","15,164","17,416,858","168,616,371"
344,Winchester,2022,"8,275,677","12,132,536","59,199,871","9,756,641","883,018","2,135,626","19,988,584","695,208","41,000","11,973,479","125,081,640"
010,Arlington,2021,"7,144,202","16,458,621","81,004,989","9,505,229","1,586,915","3,997,511","33,942,911","3,513,160",0,"13,429,367","170,582,905"
046,Brookline,2021,"12,790,198","35,067,861","126,667,840","13,221,233","2,438,501","7,607,961","68,065,399","6,844,100",0,"25,056,165","297,759,258"
065,Cohasset,2021,"3,583,388","5,987,399","21,231,521","3,472,768","565,513","858,993","8,909,141","605,249",0,"2,056,875","47,270,847"
082,Duxbury,2021,"3,875,231","9,816,009","36,466,876","3,586,938","692,021","2,781,853","14,150,638","579,254",0,"8,491,367","80,440,187"
100,Framingham,2021,"11,101,640","30,292,561","152,403,876","13,643,262","1,988,143","5,699,714","56,422,601","8,549,307","53,992","13,241,707","293,396,803"
131,Hingham,2021,"5,266,407","13,319,256","57,149,966","5,815,934","844,139","1,865,789","15,167,617","1,035,944","6,500","7,918,163","108,389,715"
155,Lexington,2021,"18,269,953","16,512,149","117,327,461","8,482,363","1,689,414","4,133,653","12,341,163","990,747","202,589","27,783,469","207,732,961"
168,Marblehead,2021,"2,377,131","8,867,143","40,666,179","5,017,315","627,213","2,038,821","16,623,103","2,294,253",0,"7,757,889","86,269,047"
178,Melrose,2021,"4,016,298","10,307,732","36,993,157","9,435,544","1,582,994","1,635,552","20,190,428","4,146,976","998,033","5,890,716","95,197,430"
198,Natick,2021,"12,432,432","17,483,698","69,830,746","7,961,827","1,866,238","2,870,285","28,655,010","1,561,618",0,"15,005,514","157,667,368"
199,Needham,2021,"9,621,286","18,096,470","87,699,063","8,123,490","2,189,972","2,559,006","36,858,022","1,521,825","667,584","17,966,458","185,303,176"
284,Stoneham,2021,"2,817,349","8,890,923","31,314,044","2,647,509","632,705","1,315,977","15,972,552","2,489,091","55,893","4,154,276","70,290,319"
291,Swampscott,2021,"3,426,088","7,885,848","29,067,091","1,334,475","1,899,522","738,659","12,087,858","1,285,431","106,852","3,514,452","61,346,276"
317,Wellesley,2021,"14,752,738","13,468,597","77,673,186","9,785,213","1,606,826","3,008,144","26,945,930","1,316,042","199,138","15,970,941","164,726,755"
344,Winchester,2021,"7,494,043","11,577,690","57,002,418","9,294,473","815,269","1,937,913","19,118,065","605,962","32,155","12,666,100","120,544,088"
010,Arlington,2020,"6,763,382","16,522,057","79,690,122","9,317,012","1,312,818","3,925,259","32,052,230","3,378,962",0,"13,810,046","166,771,888"
046,Brookline,2020,"12,581,935","35,129,432","123,764,357","12,741,652","2,362,158","7,515,548","65,533,832","6,845,405",0,"17,976,346","284,450,665"
065,Cohasset,2020,"3,323,763","5,597,588","20,084,914","3,295,862","550,739","822,468","8,286,040","560,848",0,"2,343,088","44,865,310"
082,Duxbury,2020,"4,221,235","9,968,821","36,955,362","3,802,550","715,845","2,649,674","12,403,461","515,308",0,"8,501,172","79,733,428"
100,Framingham,2020,"11,383,571","30,578,794","147,847,794","13,633,748","2,098,696","6,191,879","53,217,615","8,063,175","86,841","14,489,884","287,591,997"
131,Hingham,2020,"5,119,764","14,248,908","54,983,136","5,096,683","856,217","2,043,007","14,121,637","969,877","6,838","7,867,091","105,313,158"
155,Lexington,2020,"17,734,627","15,947,122","111,849,631","7,757,450","1,398,727","3,957,618","36,317,593","937,092","790,173","26,009,189","222,699,222"
168,Marblehead,2020,"2,374,600","8,633,414","40,702,073","4,911,732","641,129","1,963,950","15,278,345","3,286,263",0,"6,946,380","84,737,886"
178,Melrose,2020,"3,992,651","10,060,744","35,694,055","9,155,220","1,517,175","1,678,582","19,078,746","3,750,166","1,377,547","13,483,332","99,788,218"
198,Natick,2020,"10,544,030","17,419,061","69,804,107","8,474,439","1,800,272","2,925,178","26,801,231","1,396,120",0,"15,406,062","154,570,500"
199,Needham,2020,"8,298,959","17,880,087","82,621,194","6,874,723","1,876,915","2,629,171","33,882,779","1,445,490","608,251","13,483,139","169,600,708"
284,Stoneham,2020,"2,590,120","8,699,790","31,288,218","2,087,562","674,042","1,294,872","16,640,874","2,295,733","53,106","4,142,533","69,766,850"
291,Swampscott,2020,"3,475,975","7,663,410","30,235,828","1,368,497","1,786,163","756,786","11,537,466","1,106,875","119,153","3,055,320","61,105,473"
317,Wellesley,2020,"13,474,753","12,638,970","76,120,275","9,754,547","1,444,631","2,970,169","25,967,839","1,263,722","343,741","15,772,700","159,751,347"
344,Winchester,2020,"7,341,108","10,238,406","53,407,207","7,906,975","758,222","2,417,588","18,179,565","590,892","28,500","12,647,079","113,515,542"
010,Arlington,2019,"6,136,498","16,260,516","65,792,139","9,077,803","1,218,442","3,894,551","30,053,881","3,272,899","33,028","16,582,686","152,322,443"
046,Brookline,2019,"12,444,751","34,584,040","116,389,275","13,321,964","2,318,926","7,353,301","61,594,549","6,656,579",0,"15,631,274","270,294,659"
065,Cohasset,2019,"3,461,746","5,508,610","19,657,381","3,325,697","540,671","751,559","8,555,408","527,772",0,"2,664,092","44,992,936"
082,Duxbury,2019,"4,556,597","9,580,149","35,809,182","3,791,468","742,145","2,717,821","12,599,004","502,414",0,"8,375,286","78,674,066"
100,Framingham,2019,"11,709,501","29,814,957","141,637,054","13,910,310","2,078,474","6,674,439","50,828,106","7,860,257","128,982","14,195,484","278,837,564"
131,Hingham,2019,"4,714,009","13,659,957","53,089,470","6,300,216","878,779","1,942,355","13,648,643","976,062","6,410","8,646,544","103,862,445"
155,Lexington,2019,"17,110,992","15,768,798","108,356,601","7,872,922","1,497,059","3,915,094","33,626,881","923,294","109,084","24,864,253","214,044,978"
168,Marblehead,2019,"2,399,378","8,683,264","39,860,882","5,084,798","666,454","2,059,878","15,162,537","2,995,396",0,"6,734,427","83,647,014"
178,Melrose,2019,"3,718,827","9,882,410","32,463,997","9,072,056","1,470,738","1,621,639","18,381,091","3,631,893","989,830","5,696,883","86,929,364"
198,Natick,2019,"12,100,299","17,625,855","67,522,977","7,273,669","1,884,459","3,033,627","25,053,777","1,507,563",0,"9,386,226","145,388,452"
199,Needham,2019,"8,315,446","17,071,454","78,619,687","5,486,429","1,747,253","2,485,696","33,836,747","1,389,486","556,798","9,996,903","159,505,899"
284,Stoneham,2019,"2,728,209","8,393,370","30,354,467","2,671,179","597,535","1,472,984","15,735,022","1,814,909","195,387","4,488,541","68,451,603"
291,Swampscott,2019,"3,391,766","8,005,306","29,446,235","1,439,155","1,631,529","760,649","11,069,158","874,031","77,410","3,307,292","60,002,531"
317,Wellesley,2019,"14,877,603","12,638,301","75,717,428","9,170,021","1,372,282","2,973,495","24,948,511","1,262,764","79,326","16,704,655","159,744,386"
344,Winchester,2019,"7,798,467","9,653,478","49,974,412","8,452,015","647,889","1,959,049","17,500,519","573,680","27,900","12,993,748","109,581,157"
010,Arlington,2018,"3,895,893","15,776,013","65,109,595","9,972,972","1,099,350","2,818,832","29,369,586","3,173,429","32,455","10,834,276","142,082,401"
046,Brookline,2018,"11,723,637","32,252,448","110,623,908","13,330,596","2,163,588","7,234,336","60,824,387","6,480,817",0,"12,577,453","257,211,170"
065,Cohasset,2018,"2,895,408","5,373,334","18,934,712","2,929,567","497,775","756,485","8,179,954","431,545",0,"3,084,342","43,083,122"
082,Duxbury,2018,"3,770,149","9,055,201","34,716,640","4,168,291","860,318","2,602,589","12,849,251","526,890","14,637","8,542,607","77,106,573"
100,Framingham,2018,"11,226,396","29,335,412","137,018,602","14,277,437","1,900,805","6,603,049","48,496,900","7,439,538","54,544","13,866,873","270,219,556"
131,Hingham,2018,"4,687,692","13,225,588","50,508,509","6,349,000","856,425","1,895,562","13,074,128","909,520","91,348","9,082,883","100,680,655"
155,Lexington,2018,"16,992,483","15,836,707","100,996,855","7,706,325","1,413,590","3,617,377","32,645,444","813,626","-12,657","20,334,965","200,344,715"
168,Marblehead,2018,"2,607,205","8,355,696","37,558,772","5,002,841","652,684","1,954,734","14,489,427","2,872,858",0,"7,156,767","80,650,984"
178,Melrose,2018,"3,842,020","9,716,051","30,376,222","9,342,940","1,488,517","1,631,784","18,133,779","3,498,222","973,942","5,525,305","84,528,782"
198,Natick,2018,"11,828,090","16,669,582","63,757,397","7,517,781","1,916,301","2,725,144","24,524,443","1,467,927",0,"10,242,228","140,648,893"
199,Needham,2018,"7,822,606","16,262,900","74,311,204","5,669,310","1,581,104","2,170,297","31,136,752","1,333,038","521,244","10,593,452","151,401,907"
284,Stoneham,2018,"2,346,342","8,181,008","29,149,124","2,456,348","599,467","1,328,409","15,429,835","1,528,894","75,100","4,487,738","65,582,265"
291,Swampscott,2018,"3,065,196","7,744,833","28,612,235","1,409,691","1,565,515","791,933","11,322,719","825,701","42,011","3,320,775","58,700,609"
