rank,municipality,avg_sf_tax_bill,dor_per_capita_income,bill_as_pct_of_income
1,Amherst,9957,21800,45.7
2,Tisbury,12513,31588,39.6
3,Heath,5067,15471,32.8
4,Monroe,1859,6348,29.3
5,Goshen,5062,17510,28.9
6,Brookline,26237,100201,26.2
7,Aquinnah,12677,53350,23.8
8,Wendell,5565,24472,22.7
9,Holyoke,5319,23575,22.6
10,Williamstown,7996,35464,22.5
11,Everett,5887,26405,22.3
12,Greenfield,6063,27634,21.9
13,Lynn,6031,27523,21.9
14,West Tisbury,8862,40720,21.8
15,Lancaster,9373,44043,21.3
16,Lowell,5844,27486,21.3
17,Chesterfield,5767,27479,21.0
18,Springfield,4254,20404,20.8
19,Buckland,5804,28077,20.7
20,Worcester,5446,26358,20.7
21,Brockton,5591,27098,20.6
22,Amesbury,9868,48641,20.3
23,Hawley,4648,23000,20.2
24,Oak Bluffs,6996,34583,20.2
25,Williamsburg,6968,34490,20.2
26,New Bedford,4653,23310,20.0
27,Pelham,9213,46113,20.0
28,Fall River,4651,23335,19.9
29,Southbridge,5070,25930,19.6
30,Westborough,12900,67279,19.2
31,Fitchburg,5189,27202,19.1
32,Rockland,7603,39777,19.1
33,Maynard,10081,53406,18.9
34,Orange,4910,26055,18.8
35,Shutesbury,6763,36218,18.7
36,Warren,4580,24434,18.7
37,Gardner,5052,27230,18.6
38,Gloucester,9502,51424,18.5
39,Whately,5850,31550,18.5
40,Carver,7448,40588,18.4
41,Harvard,14562,79350,18.4
42,Lawrence,4140,22481,18.4
43,Shelburne,5146,28277,18.2
44,Boxborough,14372,79592,18.1
45,Randolph,6328,34979,18.1
46,Ware,5231,28885,18.1
47,Warwick,4795,26530,18.1
48,Leominster,6489,36535,17.8
49,Acton,15220,86470,17.6
50,Bridgewater,7420,42207,17.6
51,Chicopee,4580,26096,17.6
52,Middlefield,4392,24970,17.6
53,North Adams,3894,22124,17.6
54,Cambridge,13680,78192,17.5
55,Northampton,7801,44647,17.5
56,Winthrop,8293,47434,17.5
57,Belmont,19579,112427,17.4
58,Hudson,8624,49620,17.4
59,Peru,4689,26960,17.4
60,Salem,7285,41885,17.4
61,Framingham,8061,46614,17.3
62,Gill,5029,29193,17.2
63,Middleborough,6994,40662,17.2
64,Avon,7643,44742,17.1
65,Bolton,15643,91886,17.0
66,Quincy,8250,48421,17.0
67,Taunton,5540,32523,17.0
68,Montague,4928,29366,16.8
69,Plympton,9007,53567,16.8
70,Revere,5574,33133,16.8
71,Blackstone,6843,40976,16.7
72,Sharon,14353,85745,16.7
73,Stoughton,7157,42818,16.7
74,Hopedale,8808,53217,16.6
75,Leverett,7852,47345,16.6
76,Merrimac,8778,52905,16.6
77,West Boylston,7621,46024,16.6
78,Westfield,5787,34787,16.6
79,Millis,10230,61956,16.5
80,Sunderland,5947,36047,16.5
81,Tewksbury,8608,52132,16.5
82,Wenham,16164,97669,16.5
83,East Bridgewater,7410,45166,16.4
84,Groveland,8799,53587,16.4
85,Milford,6735,40990,16.4
86,Pittsfield,5518,33558,16.4
87,Winchendon,4720,28782,16.4
88,Abington,7536,46123,16.3
89,Stow,14113,86756,16.3
90,Tyringham,4547,27933,16.3
91,Georgetown,10314,63856,16.2
92,Paxton,7989,49307,16.2
93,Shirley,6490,40056,16.2
94,Clinton,6038,37609,16.1
95,Halifax,7493,46544,16.1
96,Kingston,8714,54094,16.1
97,Whitman,6861,42535,16.1
98,Haverhill,5962,37314,16.0
99,Ludlow,5923,37001,16.0
100,Wakefield,9628,60266,16.0
101,Hardwick,4852,30462,15.9
102,Norfolk,11718,73622,15.9
103,Palmer,5014,31465,15.9
104,Tyngsborough,8340,52345,15.9
105,Holbrook,6468,40811,15.8
106,Plainfield,4801,30320,15.8
107,New Salem,4951,31610,15.7
108,Plymouth,7731,49272,15.7
109,Webster,5474,34788,15.7
110,Ashby,6225,39913,15.6
111,Gosnold,3415,21887,15.6
112,Methuen,6037,38729,15.6
113,Middleton,12219,78211,15.6
114,Peabody,6411,41212,15.6
115,Beverly,8834,56939,15.5
116,Somerset,6278,40386,15.5
117,Norton,7367,47933,15.4
118,Saugus,7126,46142,15.4
119,Ashfield,5518,36404,15.2
120,Brookfield,5409,35587,15.2
121,Chelsea,4214,27806,15.2
122,East Longmeadow,8126,53447,15.2
123,Essex,11957,78483,15.2
124,Somerville,9376,61870,15.2
125,Great Barrington,8444,55904,15.1
126,Swampscott,11478,76071,15.1
127,Topsfield,14483,95770,15.1
128,Ashburnham,6246,41761,15.0
129,Attleboro,6304,41996,15.0
130,Townsend,6459,42958,15.0
131,Barre,5053,33914,14.9
132,Littleton,10800,72357,14.9
133,Marlborough,6441,43158,14.9
134,Pepperell,7578,51009,14.9
135,Wales,4588,30802,14.9
136,Wilbraham,8186,54903,14.9
137,Bedford,12985,87571,14.8
138,Dalton,6011,40563,14.8
139,Hatfield,6735,45539,14.8
140,Lunenburg,7444,50263,14.8
141,Rowley,9235,62574,14.8
142,South Hadley,5639,38042,14.8
143,Dighton,6689,45606,14.7
144,Lanesborough,6135,41749,14.7
145,Natick,11413,77821,14.7
146,Raynham,7283,49678,14.7
147,Easton,9441,64748,14.6
148,Holliston,10566,72144,14.6
149,Ashland,9372,64835,14.5
150,Billerica,7484,51629,14.5
151,Millbury,6540,45239,14.5
152,Russell,5854,40382,14.5
153,Hampden,6963,48405,14.4
154,Mansfield,8968,62350,14.4
155,Wilmington,8661,60329,14.4
156,Agawam,5190,36291,14.3
157,Arlington,11947,83690,14.3
158,Auburn,6307,43964,14.3
159,Belchertown,6622,46265,14.3
160,Chester,4458,31276,14.3
161,Granby,6381,44484,14.3
162,Hanson,7111,49839,14.3
163,Hopkinton,14021,98303,14.3
164,Salisbury,6126,42733,14.3
165,Adams,4138,29153,14.2
166,Athol,3924,27709,14.2
167,Sturbridge,7870,55434,14.2
168,Uxbridge,6814,47913,14.2
169,Ayer,6625,46946,14.1
170,Eastham,6664,47154,14.1
171,Easthampton,5562,39372,14.1
172,Lexington,20394,144186,14.1
173,Melrose,9787,69170,14.1
174,Rutland,6630,46916,14.1
175,Seekonk,6852,48467,14.1
176,Walpole,10346,73347,14.1
177,Dunstable,9982,71129,14.0
178,Grafton,9086,64906,14.0
179,Medway,9786,69807,14.0
180,North Reading,11495,82388,14.0
181,Sandwich,7818,56002,14.0
182,Danvers,7780,55853,13.9
183,Foxborough,9016,64808,13.9
184,Millville,5762,41356,13.9
185,Northborough,10461,75270,13.9
186,Stoneham,8059,58058,13.9
187,Braintree,7306,52904,13.8
188,Dedham,9974,72590,13.7
189,Hull,7795,56885,13.7
190,North Andover,9531,69633,13.7
191,West Bridgewater,7433,54184,13.7
192,Weymouth,6208,45212,13.7
193,Berkley,6985,51468,13.6
194,Malden,4952,36430,13.6
195,Monson,5265,38786,13.6
196,North Attleborough,6931,50966,13.6
197,Rockport,8548,62753,13.6
198,Colrain,4791,35363,13.5
199,Sandisfield,3489,25908,13.5
200,Sheffield,5809,43068,13.5
201,West Springfield,5041,37351,13.5
202,Westford,11171,82930,13.5
203,Hanover,10149,75870,13.4
204,Holden,7469,55612,13.4
205,Plainville,6958,51750,13.4
206,Bellingham,6073,45801,13.3
207,Conway,6335,47575,13.3
208,Medford,7427,55839,13.3
209,Mendon,8781,66023,13.3
210,Pembroke,7521,56690,13.3
211,Sudbury,16625,125429,13.3
212,Swansea,5623,42390,13.3
213,Truro,8064,60587,13.3
214,Ipswich,9733,74292,13.1
215,North Brookfield,4767,36364,13.1
216,Oxford,5192,39486,13.1
217,Boylston,9379,72411,13.0
218,Chelmsford,9219,70664,13.0
219,Lincoln,20738,159009,13.0
220,Upton,8759,67417,13.0
221,Westhampton,7149,55175,13.0
222,Andover,13176,102125,12.9
223,Egremont,5573,43313,12.9
224,Franklin,8353,64589,12.9
225,Nahant,9654,74827,12.9
226,Newburyport,10249,79681,12.9
227,Orleans,8969,69762,12.9
228,Southwick,6187,47950,12.9
229,Spencer,4671,36226,12.9
230,Sterling,7535,58549,12.9
231,Washington,5204,40278,12.9
232,Woburn,6755,52300,12.9
233,Berlin,9951,77907,12.8
234,Bernardston,5019,39100,12.8
235,Dracut,5737,44670,12.8
236,Groton,11253,87629,12.8
237,Hamilton,13093,101901,12.8
238,Wareham,4087,32017,12.8
239,Watertown,8094,63164,12.8
240,Charlemont,4976,39154,12.7
241,Douglas,6298,49751,12.7
242,Reading,10300,81402,12.7
243,Templeton,4490,35318,12.7
244,Wellfleet,7384,58327,12.7
245,Winchester,18272,143928,12.7
246,Boxford,13673,108467,12.6
247,Longmeadow,10915,86448,12.6
248,Northbridge,5922,46854,12.6
249,Southampton,6413,50794,12.6
250,Westwood,16097,127497,12.6
251,Blandford,4680,37797,12.4
252,East Brookfield,5001,40426,12.4
253,Medfield,13904,111805,12.4
254,Provincetown,11185,90125,12.4
255,Bourne,6075,49345,12.3
256,Leicester,5026,40942,12.3
257,Petersham,5707,46437,12.3
258,Rochester,6745,55216,12.2
259,Norwood,7065,58355,12.1
260,Acushnet,5244,43749,12.0
261,Concord,20517,170977,12.0
262,Dudley,4526,37640,12.0
263,Needham,16690,139002,12.0
264,Brewster,6544,55197,11.9
265,Brimfield,5469,46024,11.9
266,Freetown,5501,46146,11.9
267,Granville,5059,42644,11.9
268,Hadley,5454,45659,11.9
269,Milton,12769,107276,11.9
270,Montgomery,4822,40480,11.9
271,New Braintree,5884,49500,11.9
272,Shrewsbury,8753,73712,11.9
273,Stockbridge,6284,52892,11.9
274,Carlisle,17379,147135,11.8
275,Deerfield,6283,53034,11.8
276,Huntington,4714,39947,11.8
277,Lynnfield,12381,104802,11.8
278,Northfield,4537,38501,11.8
279,Westminster,5992,50728,11.8
280,Boston,7627,65287,11.7
281,Marion,8908,76116,11.7
282,Wayland,18259,156292,11.7
283,Royalston,3507,30277,11.6
284,West Newbury,9893,85332,11.6
285,Canton,8468,73374,11.5
286,Holland,4647,40450,11.5
287,Lee,4813,41675,11.5
288,Norwell,13675,119269,11.5
289,Rehoboth,6623,57761,11.5
290,Duxbury,12963,113703,11.4
291,Wrentham,8307,73106,11.4
292,Fairhaven,4374,38858,11.3
293,Hubbardston,4947,43818,11.3
294,Marshfield,7731,68318,11.3
295,Mashpee,6346,56318,11.3
296,Princeton,8050,71066,11.3
297,Savoy,3995,35295,11.3
298,Yarmouth,4949,43768,11.3
299,Dartmouth,5276,47163,11.2
300,Lakeville,6097,54553,11.2
301,Southborough,14230,127127,11.2
302,Monterey,5815,52418,11.1
303,New Marlborough,5050,45527,11.1
304,Scituate,10191,92061,11.1
305,West Stockbridge,6943,62534,11.1
306,Richmond,6630,60195,11.0
307,Charlton,5345,49247,10.9
308,Cohasset,16814,154676,10.9
309,Harwich,5872,54010,10.9
310,Nantucket,9904,90622,10.9
311,Alford,5191,48215,10.8
312,Oakham,4888,45354,10.8
313,Phillipston,4724,44156,10.7
314,Barnstable,5599,52832,10.6
315,Sutton,7247,68076,10.6
316,Burlington,7128,68206,10.5
317,Waltham,5189,49410,10.5
318,Worthington,5327,50738,10.5
319,Clarksburg,3295,32061,10.3
320,Mattapoisett,8244,80037,10.3
321,Newton,17077,167243,10.2
322,Falmouth,5881,58210,10.1
323,West Brookfield,4446,44918,9.9
324,Wellesley,20551,212430,9.7
325,Becket,3670,38186,9.6
326,Hingham,14313,148511,9.6
327,Marblehead,11055,115422,9.6
328,Hinsdale,4375,46235,9.5
329,Manchester By The Sea,16371,171950,9.5
330,Erving,2772,29783,9.3
331,Tolland,3196,34310,9.3
332,Cheshire,3586,38898,9.2
333,New Ashford,2795,30799,9.1
334,Chilmark,8024,88995,9.0
335,Westport,4931,54579,9.0
336,Edgartown,6721,79087,8.5
337,Newbury,7201,85166,8.5
338,Florida,2006,24215,8.3
339,Leyden,5127,64633,7.9
340,Dennis,3873,49780,7.8
341,Weston,26313,340262,7.7
342,Dover,19088,264727,7.2
343,Chatham,6381,92760,6.9
344,Windsor,2846,40977,6.9
345,Otis,3365,49442,6.8
346,Lenox,6621,104878,6.3
347,Cummington,4575,76231,6.0
348,Sherborn,20018,352250,5.7
349,Mount Washington,3720,71739,5.2
350,Rowe,1661,34659,4.8
351,Hancock,835,21588,3.9
